perfect,target
1,团委书记
1,党委委员
1,党支部书记
1,党委委员
1,中共党员
1,团委干事
1,中共党员
1,党支部书记
1,党支部书记
1,支部书记
,党委办公室主任
,党委副书记
,加入中国共产党
,党委副书记
,党委副书记
1,党委书记
1,党委委员
1,纪委书记
1,党委委员
1,纪委书记
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
,党委副书记
1,中共党员
1,党支部书记
1,党委书记
,党委副书记
1,中共党员
,加入中国共产党
,党政办公室宣传干事
,党政办公室副主任
,纪委副书记
,党委宣传部部长
,纪委副书记
,党委宣传部部长
,加入中国共产党
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党委委员
1,党委委员
1,纪委书记
,加入中国共产党
1,支部书记
1,党总支书记
,党委副书记
,党委副书记
1,党委常委
,党委副书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
,加入中国共产党
,党委副书记
,党委副书记
,党委副书记
,党委副书记
,党委副书记
1,党委书记
1,党委书记
,党委副书记
,党委副书记
,党委副书记
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,党总支书记
1,党总支书记
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,党支部书记
1,党支部书记
,党委副书记
1,党委委员
,党委副书记
,党支部副书记
,团委副书记
1,党委书记
,党组纪检组办公室副主任
,党委副书记
1,党委书记
1,党委常委
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,中共党员
,区委宣传部工作
1,党支部书记
,党组成员
,党组成员
,党组成员
1,党组书记
1,党校校长
,区委党校校长
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,省委委员
1,中共党员
1,党委委员
1,党委委员
,党委副书记
1,党委委员
1,纪委书记
1,中共党员
1,党委书记
,党委副书记
1,中共党员
1,党支部书记
1,党支部书记
1,党支部书记
1,党委委员
1,党委委员
1,中共党员
1,党支部书记
1,党委秘书
1,中共党员
1,党委委员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,党委委员
,党委副书记
1,党委委员
,加入中国共产党
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
1,党支部书记
1,纪委委员
1,机关党委委员
1,中共党员
1,中共党员
,党支部副书记
,党总支副书记
,党委副书记
1,中共党员
1,团委负责人
1,党办主任
1,党委委员
1,中共党员
1,共产党党员
1,中共党员
1,党委委员
1,党委书记
,党委副书记
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
,党委副书记
1,共产党党员
1,党委委员
1,纪委书记
,党委办公室副主任
1,党委书记
,党委组织部部长
1,纪委书记
1,党委委员
,团委副书记
,团委副书记
,党委副书记
1,纪委书记
1,党委书记
1,党委委员
1,党委委员
1,党委书记
,党委副书记
1,纪委书记
1,党委委员
1,纪委书记
1,党校校长
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
1,党支部书记
1,党委书记
,党委副书记
1,党支部书记
1,中共党员
,加入中国共产党
1,中共党员
,加入中国共产党
1,党委书记
1,党委书记
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委常委
1,党委委员
1,党委委员
,党组织任第一书记
1,中共党员
1,中共党员
1,党委委员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,纪委书记
,党委副书记
1,党委书记
1,中共党员
,党组织第一书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党委委员
1,中共党员
,党支部副书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,党总支书记
,支部副主委
,市委民办教育支部副主委
,市委企业家联谊会常务理事
1,中共党员
1,党委委员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党支部书记
,党总支部书记
1,支部书记
1,中共党员
1,中共党员
,党委副书记
1,纪委书记
1,党总支委员
,党总支副书记
1,党总支书记
,党委副书记
1,党委书记
1,中共党员
1,党委书记
1,党总支书记
1,区委常委
1,党组书记
1,党组书记
1,中共党员
,党群处)副处长
,纪委副书记
,纪委副书记
,纪委副书记
,党委副书记
1,纪委书记
,纪委副书记
1,党委委员
1,党委书记
1,中共党员
,共产党和***员
1,中共党员
1,中共党员
1,中共党员
1,团委委员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党支部副书记
1,中共党员
1,党委委员
1,中共党员
1,党委书记
1,党支部书记
1,党委委员
,党委副书记
1,纪委书记
,党委办主任
1,党委书记
1,中共党员
1,党总支书记
1,党总支书记
1,中共党员
1,团委书记
1,党委委员
,党委副书记
1,党委书记
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委秘书
1,团委书记
,团委副书记
,纪委副书记
1,机关党委书记
1,党委书记
,纪委副书记
1,党委委员
1,中共党员
1,中共党员
1,党支部书记
1,党支部书记
1,党总支书记
1,党总支书记
1,党委委员
1,党委委员
,党委副书记
,党委副书记
1,党委书记
1,党委书记
1,党委委员
,党委副书记
1,共产党党员
1,中共党员
1,中共党员
,党政办公室科员
,团委副书记
1,团委书记
1,中共党员
1,中共党员
1,中共党员
1,纪委书记
,党总支部书记
1,支部书记
,党委副书记
,党总支副书记
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,党总支书记
1,党总支书记
1,中共党员
1,党委委员
1,中共党员
,团委副书记
1,党委书记
1,党委书记
1,中共党员
1,党支部书记
1,党总支书记
1,中共党员
,党委副书记
1,纪委书记
,党委副书记
1,党办干事
1,党总支书记
1,中共党员
,党委副书记
1,党委书记
1,党委常委
1,党委常委
1,中共党员
1,党工委书记
1,党委委员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,党组书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,党委书记
1,党委委员
1,党委书记
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,中共党员
1,中共党员
,党委办公室主任
1,纪委委员
,纪委办公室主任
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
,党委副书记
1,党委委员
1,党委委员
1,党委书记
1,党委委员
1,党委书记
,党委副书记
1,中共党员
1,中共党员
1,党委委员
1,党委委员
1,党委委员
1,党委书记
1,党委书记
1,纪委委员
1,党委书记
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
1,中共党员
1,中共党员
1,党委书记
,党委副书记
1,党总支书记
1,中共党员
1,党委委员
1,中共党员
1,党委委员
1,党委书记
1,党委书记
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,纪委书记
1,中共党员
1,党委委员
1,中共党员
1,党委委员
,党委副书记
1,党委委员
1,党支部书记
1,中共党员
1,党校教师
,县委党校教师
,党委副书记
1,党组书记
1,县委委员
,党组副书记
1,县委委员
1,党委委员
1,中共党员
1,党委委员
1,党委委员
1,中共党员
1,中共党员
1,党支部书记
1,党委书记
1,党总支书记
,党总支部书记
1,支部书记
1,中共党员
1,中共党员
1,中共党员
,纪委副书记
1,党总支书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,党委书记
1,中共党员
,党委副书记
1,纪委书记
1,中共党员
1,中共党员
1,党委委员
1,中共党员
1,中共党员
1,党委书记
1,党委书记
1,党委书记
1,党委书记
,毕业于中共中央党校
1,中共党员
,团委副书记
1,中共党员
1,中共党员
1,党总支委员
,党委宣传部副科长
1,党支部书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党委办公室负责人
1,中共党员
1,中共党员
1,党委书记
,党委副书记
,党委副书记
,党委副书记
1,纪委书记
1,纪委书记
1,纪委书记
,党委副书记
1,纪委书记
1,党委书记
1,中共党员
1,中共党员
,党委副书记
1,中共党员
1,中共党员
1,中共党员
1,中共党员
1,中共党员
,党支部副书记
1,党委委员
1,纪委书记
,党委副书记
1,中共党员
1,中共党员
1,党委委员
,省委学校产业与企业发展研究院特聘研究员
1,中共党员
1,党委委员
,党委副书记
1,中共党员
1,党总支书记
1,中共党员
,党委副书记
1,党委委员
1,中共党员
1,党委委员
1,党委书记
1,党委委员
1,纪委书记
1,中共党员
1,中共党员
1,中共党员
,党委副书记
1,党委书记
1,党委书记
1,中共党员
1,党委书记
1,中共党员
,中共莆田市铁路建设办公室党支部书记
1,党支部书记
1,中共党员
1,中共党员
,党群人事部副部长
,党委办公室副主任
1,党委委员
,党委副书记
1,中共党员
,党委纪委委员
1,纪委委员
1,中共党员
,党委副书记
1,纪委书记
,党委副书记
1,纪委书记
1,党委书记
,党委副书记
1,纪委书记
1,纪委书记
1,中共党员
1,党支部书记
1,党委委员
1,中共党员
1,中共党员
,党办科员
1,中共党员
,党群人事部部长
1,党委书记
,党委副书记
1,党委委员
1,党委书记
1,中共党员
1,党委书记
1,党支部书记
1,党委书记
1,共产党党员
1,党委委员
1,党委委员
1,党委书记
1,党支部书记
1,中央党校研究生
1,纪委委员
1,党委书记
1,党委书记
1,中共党员
,党委副书记
,党组成员
1,市委常委
,党组副书记
,市委副书记
1,中共党员
1,中共党员
1,中共党员
,党办)副主任
