academics,academicRelated,jobs,jobRelated,organizations,isGeneralMatch,personId,personName,personDescription,companyName,personTitle
,0,法律顾问,4,[],,"""5f656e29ade9005a1ec9d212""",范维平,"范维平先生,1965年4月出生,中共党员,研究生学历。曾任深华集团公司监察审计部法律科科长,法律部副部长、部长,总经理助理,总法律顾问;2009年1月起担任深圳市物业发展(集团)股份有限公司董事会秘书,兼任公司总法律顾问,2012年2月起担任深圳市物业发展(集团)股份有限公司副总经理、董事会秘书、总法律顾问,已于2009年取得深交所董事会秘书资格证书。现任深圳市物业发展(集团)股份有限公司副总经理、董事会秘书、总法律顾问。",深物业A,"董事会秘书,副总经理"
法学,1,律师,5,"[""律师事务所""]",,"""5f656e0dade9005a1ec9ca7a""",赵宏伟,"赵宏伟:男,1968年12月出生,中国政法大学法学专业本科毕业。1988年9月至1990年6月任呼和浩特市律师事务所专职律师;1990年6月至1991年10月任内蒙古自治区律师事务所专职律师;1991年10月至1993年8月任内蒙古自治区地矿局律师;1993年8月至1997年5月任深圳石化集团(深圳石化综合商社)办公室科员、副科长、科长、副主任;1997年7月至2001年6月任深圳沙河高尔夫球会有限公司董事、副总经理;2001年6月至2005年5月任深圳市亿鑫投资有限公司副总经理兼深业投资发展有限公司董事、副总经理;2005年5月至2006年4月任职深圳市亿鑫投资有限公司;2006年4月至2007年5月任深圳市投资控股公司资产管理中心经理;2007年5月至2011年4月任深圳市国际招标有限公司党支部副书记、总经理;2011年4月至2017年1月任深圳市华晟达投资控股有限公司党委书记、董事长;2017年1月起任深圳市振业(集团)股份有限公司党委书记。",深振业Ａ,"董事长,董事"
,0,法务,1,"[""法务部""]",,"""5f656e19ade9005a1ec9cdd2""",张德冠,"张德冠,男,1961年出生,大专学历,中级经济师、助理工程师。曾任深圳市宝安区永安房地产开发公司副经理,深圳市宝安区物业管理公司副经理,深圳市宝安区电影公司党支部书记、董事长、经理,深圳市宝安区投资管理有限公司董事局董事、综合管理部部长、企业改革重组办公室负责人,深圳市宝安区投资管理集团有限公司企业改革重组办公室主任(兼深圳市全安建设监理有限公司党支部书记、董事长)、资产法务部部长、审计部部长。现任深圳市宝安区投资管理集团有限公司监事、发展投资部部长。",中国宝安,董事
法学,1,律师,8,"[""律师事务所"",""律师协会"",""法学会""]",,"""5f656e74ade9005a1ec9e1dc""",欧永良,"欧永良先生:1969年出生,中国国籍,无境外永久居留权,研究生学历。1992年至2001年任职于广东对外经济律师事务所,2001年至今就职于广东合盛律师事务所。现任广东燕塘乳业股份有限公司独立董事、广东合盛律师事务所主任。欧永良先生曾先后担任广东省人大常委会立法顾问、广东省党代会专家顾问、中共广州市第九次代表大会代表、广东省工会法律服务律师团团长、第16届亚运会律师志愿服务团团长等。曾获“广州市十佳律师”称号,多次获得中共广东省律协委员会“优秀共产党员”、中共广州市司法局委员会“优秀党务工作者”等称号。现任中国国际经济贸易仲裁委员会、上海国际经济仲裁委员会、华南国际经济贸易仲裁委员会和广州仲裁委员会仲裁员、中华全国律师协会副会长、广东省律师协会会长、广东省法学会副会长。",国药一致,独立董事
,0,律师,2,"[""律师事务所""]",,"""5f656e2fade9005a1ec9d3f7""",胡月明,"胡月明,男,汉族,1971年3月出生,中共党员,1994年7月本科毕业于郑州大学,2014年7月硕士毕业于中国香港科技大学。历任河南电视台记者、深圳市国兴律师事务所律师、深圳市盐田区人力资源管理局劳动仲裁办主任、深圳市人民政府国有资产监督管理委员会综合规划处副调研员、深业集团有限公司董事会秘书及人力资源部总经理,深业置地有限公司副总经理,深业置地投资发展(深圳)有限公司总经理。现任沙河实业股份有限公司董事、拟任沙河实业股份有限公司总经理。",沙河股份,总经理
,0,法务,2,[],,"""5f656e3fade9005a1ec9d6ad""",李君,"李君,男,汉族,1971年出生,本科学历,助理会计师。历任通信科技公司南昌分公司财务经理,通信科技公司财务部高级经理,审计及法务中心高级经理、总监助理等职务。现任集团公司纪委办负责人,审计及法务中心副总监,内控与风险管理部总经理,康佳集团职工监事。",深康佳Ａ,职工监事
,0,律师,3,"[""律师事务所""]",,"""5f656e53ade9005a1ec9d9dd""",刘海峰,"刘海峰先生:1971年出生,博士研究生,律师。历任深圳市物业发展(集团)股份有限公司法律部主任;广东信通律师事务所合伙人。现任广东瀚诚律师事务所一级合伙人。",深粮控股,独立董事
法律专业,1,"律师,法律顾问",4,"[""律师事务所""]",,"""5f656e77ade9005a1ec9e330""",康晓岳,"康晓岳先生,中国国籍,1964年11月出生,无境外永久居留权,北京大学法律专业,本科学历。曾任江西省司法厅科员,深圳法制报社记者、编辑、新闻部主任,现任广东万乘律师事务所主任律师、高级合伙人,广州海鸥住宅工业股份有限公司和民盛金科控股股份有限公司的独立董事。康晓岳先生主要社会职务有:深圳市人大常委会第三、第四届兼职常委法律顾问,政协深圳市福田区委员会第二、第三、第四届常务委员,深圳市侨联法律顾问委员会常务副主任兼秘书长,深圳市监察局特邀监察员等。",深深房Ａ,独立董事
法学,1,"律师,法律顾问",5,"[""司法部""]",,"""5f656e80ade9005a1ec9e5b1""",宋冰心,"宋冰心,女,1970年3月出生,中国政法大学经济法法学学士,北京师范大学文学学士,持有中国律师职业资格、企业法律顾问执业资格、会计从业资格证书。1994年8月进入中粮集团有限公司,先后任中粮集团法律部法律顾问,诉讼与仲裁部总经理助理,合同与公司法部副总经理,诉讼与仲裁部总经理。2012年1月至2016年12月任大悦城地产有限公司总法律顾问。2016年12月至2019年4月任大悦城控股集团股份有限公司副总经理。2016年12月至2017年4月代行董事会秘书职责,2017年4月起任大悦城控股集团股份有限公司董事会秘书。2019年4月起任公司总法律顾问。宋冰心女士已获得深圳证券交易所颁发的上市公司董事会秘书资格证书。",大悦城,"董事会秘书,总法律顾问"
,0,"律师,法务",7,"[""律师事务所"",""法务部""]",,"""5f656e0dade9005a1ec9caac""",陈英革,"陈英革,男,52岁,硕士,执业律师。现任招商局积余产业运营服务股份有限公司独立董事,广东法制盛邦(深圳)律师事务所合伙人、专职律师,深圳市振业(集团)股份有限公司独立董事。曾任珠海市广利实业有限公司法务部主管,深圳市天极光电实业股份有限公司投资管理部主管、副经理,金地(集团)股份有限公司董事会发展委员会主管、法务组负责人,广东融关律师事务所专职律师。",深振业Ａ,独立董事
"法学,法专业,法学院",5,律师,6,"[""律师事务所"",""律师协会""]",,"""5f656e25ade9005a1ec9d096""",刘伟英,"刘伟英,女,中国国籍,无境外永久居留权,1977年1月出生,法学硕士,厦门大学民商法专业毕业。现任福建建达律师事务所合伙人、福建省律师协会行政法专业委员会委员、福州律师协会行政法专业委员会委员、福州市律师协会女工委副主任、福州仲裁委员会委员、厦门仲裁委员会委员、福建水泥股份有限公司独立董事、第九届福州市鼓楼区政协委员、深圳美丽生态股份有限公司独立董事;同时兼任福建省政府采购评审专家库专家、福建省财政投资评审中心专家、福建省消委会金融专业委员会专家、涉台、涉自贸区多元化纠纷解决工作机制调解员、福建工程学院法学院兼职教授。入选福州市律师协会优秀专业人才库,被评为2017-2018年度福州市优秀律师。",美丽生态,独立董事
,0,,0,[],1,"""5f656e29ade9005a1ec9d1d4""",李清华,"李清华先生,1982年4月生,大学本科学历。2003年至2013年,供职于深圳德正信国际资产评估有限公司,历任项目助理、项目经理、高级经理;2013年至2017年,任深圳市投资控股有限公司产权管理与法律事务部高级主管,2017年至今任深圳市投资控股有限公司审计部副部长。",深物业A,监事
"法学院,法硕士,法学",5,,0,"[""法学会""]",,"""5f656e80ade9005a1ec9e56f""",王涌,"王涌,男,1968年11月出生。1990年毕业于中国青年政治学院,先后获得南京大学法学院经济法硕士学位、中国政法大学民商法学博士学位。现任中国政法大学民商经济法学院教授、博士生导师,中国商业法学会副会长,北京信威通信科技集团股份有限公司、威海光威复合材料股份有限公司、灵康药业集团股份有限公司独立董事。已取得深圳证券交易所以及上海证券交易所独立董事资格证书。2016年6月起担任威海光威复合材料股份有限公司独立董事。",大悦城,独立董事
,0,,0,[],1,"""5f656e11ade9005a1ec9cbd4""",周原,"周原:男,1985年4月出生,西北政法大学本科学历。历任海航实业集团有限公司合规管理部合规法律中心经理,国付宝信息科技有限公司风控部总经理,海航云商投资有限公司风险管控部总经理、支付业务风控总监,自2016年4月起深圳市全新好股份有限公司副总经理、副董事长、总经理、法定代表人,现任深圳市全新好股份有限公司副总经理。",全新好,副总经理
,0,"律师,法务",3,"[""律师事务所""]",,"""5f656e26ade9005a1ec9d0e2""",念保敏,"念保敏先生:1975年11月出生,中国国籍,无永久境外居留权,大学本科学历。念保敏先生已取得深圳证券交易所颁发的董事会秘书资格证书。曾任福建融成律师事务所执业律师,福建雪人股份有限公司证券事务代表,新华都购物广场股份有限公司证券事务代表等职。2018年7月加入深圳美丽生态股份有限公司控股子公司福建美丽生态建设集团有限公司,任职法务经理。",美丽生态,"董事会秘书,副总经理"
,0,法务,1,[],,"""5f656e0dade9005a1ec9ca8e""",李建春,"李建春:男,1964年8月出生,吉林大学世界经济专业研究生毕业,博士,高级经济师。1990年11月至1994年11月任国务院法制局科员、副主任科员、主任科员;1994年11月至1999年9月任中国进出口银行项目评审部职员、项评处副经理、法务事务处副经理;1999年9月至2000年4月任三亚市国有资产管理局局长兼企业工委副书记;2000年4月至2004年3月任三亚市国有资产监督管理委员会办公室主任;2004年3月至2006年8月任三亚市国有资产监督管理委员会主任、党委副书记;2006年8月至2008年1月任三亚市政府副秘书长;2008年1月至2009年9月任深圳市国资委政策法规处(集体企业工作处)处长;2009年9月至2010年8月任深圳市建筑设计研究总院有限公司党委书记、董事长;2010年12月至2013年5月任深圳市水务(集团)有限公司监事会主席;2013年5月至2017年1月任深圳市信息管线有限公司董事长、党支部书记;2017年1月起任深圳市振业(集团)股份有限公司党委副书记。",深振业Ａ,董事
,0,,0,[],1,"""5f656e10ade9005a1ec9cb3f""",黄国铭,"黄国铭:男,汉族,1990年12月10日出生于中国香港,大学学历,2014年7月毕业于澳洲悉尼麦格理大学,应用金融专业。自2014年10月当任深圳市东城绿色投资有限公司法人、执行董事,现任深圳市全新好股份有限公司董事长。",全新好,"董事长,董事"
法硕士,1,,0,[],,"""5f656e13ade9005a1ec9cc55""",许汉明,"许汉明:男,1977年出生,中国国籍,民商法硕士学位。曾任北京市人大常委会主任科员、北京市地方志编纂委员会办公室副处长、中关村科技园区管理委员会宣传处处长并兼任研究室负责人。现任神州高铁技术股份有限公司董事、北京三峡鑫泰投资基金管理有限公司任董事兼总经理。",神州高铁,董事
法学,1,"律师,法律顾问",8,"[""律师事务所""]",,"""5f656e13ade9005a1ec9cc6a""",郜永军,"郜永军:男,1968年出生,中国国籍,法学硕士,律师。曾任呼和浩特钢铁厂企业法律顾问,经世律师事务所、北京国枫律师事务所、北京金励律师事务所律师。现任北京市高界律师事务所合伙人律师。",神州高铁,独立董事
,0,,0,[],1,"""5f656e53ade9005a1ec9d9f2""",毕为民,"毕为民女士:1956年出生,博士研究生,高级会计师。历任葛洲坝电厂工程师、厂长助理、副厂长;三峡财务公司副董事长、董事;中国长江电力股份公司总经济师、监事;中国长江三峡集团有限公司副总会计师、投资委员会委员兼资产财务部主任、企业管理部与法律事务部主任。现已退休。",深粮控股,独立董事
,0,,0,[],1,"""5f656e19ade9005a1ec9ce07""",邹晓锋,"邹晓锋,男,1978年出生,硕士,具有法律职业资格。曾任职于中国证监会深圳证监局、深圳专员办,新时代证券股份有限公司深圳分公司。现任信披网络股份有限公司法定代表人、总裁。",中国宝安,监事
,0,法律顾问,1,[],,"""5f656e5aade9005a1ec9db97""",陈朱江,"陈朱江先生,中国国籍,毕业于天津大学电化学专业、吉林大学企业管理硕士。现任深圳长城开发科技股份有限公司董事、常务副总裁、总法律顾问,兼任苏州长城开发科技有限公司董事、沛顿科技(深圳)有限公司董事、开发科技(中国香港)有限公司董事、成都长城开发有限公司董事长、重庆深科技有限公司董事长、深圳长城开发精密技术有限公司副董事长、昂纳科技(集团)有限公司董事、昂纳信息技术(深圳)有限公司董事、中国电子东莞产业园有限公司董事。2005年1月首次担任深圳长城开发科技股份有限公司副总裁,2019年1月担任常务副总裁,2016年2月首次担任深圳长城开发科技股份有限公司董事,历任第七届、第八届董事会董事。",深科技,常务副总裁
法律硕士,1,,0,[],,"""5f656e57ade9005a1ec9daf1""",吴卫华,"吴卫华:男,1978年出生,北京大学法律硕士研究生。现任中国民族证券有限责任公司投资银行事业部董事总经理,历任华创证券有限责任公司投资银行部董事总经理、并购融资业务部负责人;天风证券股份有限公司投资银行部董事总经理、深圳业务部负责人;国信证券股份有限公司投资银行部业务十部执行副总经理;大鹏证券有限责任公司投资银行部助理董事;深圳天健信德会计师事务所审计师等。",深华发Ａ,独立董事
,0,法务,1,"[""法务部""]",,"""5f656e60ade9005a1ec9dd01""",林建喜,"林建喜,男,1969年1月出生。2007年8月进入广东烨龙集团有限责任公司工作,曾任广东烨龙集团有限责任公司行政部经理、法务部经理、业务部经理等职务;2010年5月至今任广东烨龙集团有限责任公司外联部主任。",深天地Ａ,监事
法专业,1,律师,2,"[""律师事务所""]",,"""5f656e49ade9005a1ec9d7f7""",张志高,"张志高先生,1965年生,中国国籍,拥有美国长期居留权,毕业于复旦大学经济法专业。张先生于1984年至1988年期间任上海电机厂技术员;于1990年至1995年期间任上海立信会计金融学院科员;于1995年至2001年期间任上海立信会计金融学院讲师;于2001年至2007年期间任上海市浩信律师事务所合伙人;现任发行人独立董事、上海序伦律师事务所合伙人。",*ST中华A,独立董事
,0,"律师,法律顾问",2,[],,"""5f656e53ade9005a1ec9d9fc""",王慧敏,"王慧敏女士:1967年出生,硕士研究生,律师执业资格、中级经济师、高级人力资源管理师。历任深圳市建设集团公司法律顾问;深圳市建设投资控股公司经济师、女工委员会主任、人力资源部经理;深圳市投资控股有限公司人力资源部部长;深圳市物业发展(集团)股份有限公司副总经理;深圳市粮食集团有限公司董事、党委副书记、纪委书记。现任深圳市粮食集团有限公司纪委书记、监事会主席;公司第九届监事会监事。",深粮控股,监事会主席
,0,法律顾问,1,[],,"""5f656e73ade9005a1ec9e1b9""",李智明,"李智明先生:出生于1962年11月,中共党员,大学专科学历,高级经济师、主管药师。1985年7月至1996年7月曾历任新疆新特药民族药商店财务科副科长、新疆医药工贸公司副总经理和总会计师、新疆新特药民族药公司副总经理和总会计师、新疆自治区医药管理局组建集团筹备领导小组办公室副主任;1996年7月至2016年2月曾历任新疆新特药民族药公司总经理、董事长、党委书记,及新疆药业集团公司(现为国药集团新疆药业有限公司)董事、总经理、副董事长、董事长、党委书记;2010年5月至2013年11月担任国药控股股份有限公司副总裁;2012年10月至2014年1月兼任国药控股股份有限公司总法律顾问,2012年11月至2013年10月兼任国药控股股份有限公司纪委书记、工会主席,2012年11月起至今兼任国药控股股份有限公司党委副书记;2013年11月至2017年11月担任国药控股股份有限公司总裁;2014年1月起至今担任国药控股股份有限公司执行董事;2017年3月起担任国药控股股份有限公司董事长、党委书记。目前亦兼任国药产业投资有限公司、国药集团一致药业股份有限公司、国药控股股份中国香港有限公司、国药控股国大药房有限公司的董事,以及国药集团新疆药业有限公司、国药控股(中国)融资租赁有限公司和国药中金(上海)医疗健康投资管理有限公司的董事长。2010年8月至2011年10月担任国药集团药业股份有限公司董事长;2014年2月至今担任国药集团药业股份有限公司董事;2014年2月至2016年6月担任国药集团药业股份有限公司董事长。于2014年12月31日获委任为国药控股股份有限公司战略与投资委员会委员。于2017年3月24日获委任为国药控股股份有限公司战略与投资委员会主席。于2017年3月24日获委任为国药控股股份有限公司提名委员会主席。于2018年3月23日获委任为国药控股股份有限公司法律合规委员会委员。",国药一致,董事
,0,律师,5,"[""律师事务所""]",,"""5f656e19ade9005a1ec9cdf0""",徐志鸿,"徐志鸿,男,1988年出生,本科学历,律师执业满五年。曾任广东君言律师事务所执业律师,现任广东晟典律师事务所执业律师。",中国宝安,独立董事
,0,"律师,法务",2,"[""律师事务所""]",,"""5f656e2dade9005a1ec9d3aa""",杨昕宇,"杨昕宇:男,博士,历任北京市金杜律师事务所证券部顾问,泓华国际医疗控股有限公司法务风控总监、董事长助理。现任中国南玻集团股份有限公司助理总裁,审计部及投资者关系部总监。",南  玻Ａ,董事会秘书
法学,1,,0,[],,"""5f656e49ade9005a1ec9d7d6""",姚正旺,"姚正旺先生,1975年出生,法学学士学位。历任深圳市国民投资发展有限公司监事室监事、销售部副经理、法律事务部副经理、风控合规管理中心副总经理;深圳中华自行车(集团)股份有限公司监事会召集人、董事、董事会秘书;现任深圳中华自行车(集团)股份有限公司董事、乐山商业银行股份有限公司董事。",*ST中华A,董事
"法学,法学院",6,,0,[],,"""5f656e7bade9005a1ec9e447""",马新彦,"马新彦女士,生于1958年,博士研究生学历,曾任吉林大学法学研究所副主任、《法制与社会发展》副主编。现任吉林大学法学院学位委员会主席、吉林大学社会科学学部学位委员会成员、吉林大学法学院商法导师组组长(学科带头人)、吉林大学法学院家事法律研究中心主任、中国民法学研究会副会长、中国民法学研究会学术委员会委员等职务。",富奥股份,独立董事
法学,1,律师,1,[],,"""5f656e2fade9005a1ec9d42c""",王苏生,"王苏生,男,1969年3月出生,法学博士、管理学博士后、MBA,中国注册会计师、律师、美国注册金融分析师(CFA)、教授、博士生导师。现任南方科技大学教授,广州汽车集团股份有限公司、万泽实业股份有限公司、深圳天马微电子股份有限公司独立董事。曾任深圳经济特区证券公司罗湖营业部总经理,英大证券有限责任公司武汉营业部总经理、董事会秘书处副主任,中瑞创业投资基金管理有限公司负责人。现任沙河实业股份有限公司独立董事。",沙河股份,独立董事
法学,1,"法务,律师",4,"[""律师事务所""]",,"""5f656e57ade9005a1ec9dad3""",姜俊明,"姜俊明,男,1978年2月出生,汉族,辽宁大连人,沈阳工业大学法学专业大学学历,北京大学金融学专业硕士学位。现任深圳市赛格集团有限公司风险控制部副总经理。历任深圳市金地置业有限公司法务助理,深圳茂业(集团)有限公司法务主管,深圳市长城投资控股股份有限公司法务副经理,深圳市赛格集团有限公司法律事务岗,广东广和律师事务所合伙人。",深华发Ａ,"副董事长,董事"
,0,律师,2,"[""律师事务所""]",,"""5f656e49ade9005a1ec9d7eb""",宋西顺,"宋西顺先生,1963年生,厦门大学中文专业硕士。曾任教解放军外国语学院、任职厦门市公安局、厦门市文化局、厦门理工学院文化产业学院副院长、厦门市人事争议仲裁委员会仲裁员等职务,2003年至今任教厦门理工学院,现任厦门理工学院文化发展研究院副院长(全职)、中银(厦门)律师事务所律师(兼职)、乔丹体育股份有限公司独立董事(兼职)、德化恒忆艺术陶瓷股份有限公司独立董事(兼职)、厦门市语言学会副会长(兼职)。",*ST中华A,独立董事
"法学院,法专业,法学",3,,0,[],,"""5f656e5aade9005a1ec9db82""",周剑,"周剑先生,48岁,中国国籍,毕业于中国人民大学法学院国际经济法专业,法学硕士。现任深圳长城开发科技股份有限公司党委书记、副董事长。历任深圳市桑达实业股份有限公司董事长,珠海南方软件园发展有限公司董事长,深圳市兴业有限公司董事长,中国中电国际信息服务有限公司副总经理、总经理,深圳桑达电子集团有限公司董事、总经理,中国电子信息产业集团有限公司商贸板块业务整合筹备组成员,中国电子信息产业集团有限公司办公厅主任兼综合研究室主任,中国电子信息产业集团有限公司董事会办公室主任兼代理办公厅主任,中国电子产业工程公司办公室主任,中国电子信息产业集团公司办公室法律事务室主任。2019年4月首次担任深圳长城开发科技股份有限公司董事、副董事长。",深科技,"董事长,董事"
,0,律师,3,"[""律师事务所""]",,"""5f656e64ade9005a1ec9de25""",江定航,"江定航,男,1963年7月出生,中国国籍,1989年毕业于华东政法大学,硕士学历。1989年7月-1993年1月,任深圳市社保局法规咨询部部长;1993年1月-1996年5月,任深圳市劳动局办公室副主任;1996年5月-1998年12月,任深圳特发集团有限公司办公室主任;1998年12月-2001年8月,任深圳特发松立公司总经理;2001年9月-2003年11月,任深圳市通讯工业股份有限公司总经理;2003年12月-2005年3月,任广东中安律师事务所实习律师;2005年4月至今,任上海市锦天城(深圳)律师事务所高级合伙人。",特  力Ａ,独立董事
