华安证券,600909,收入构成,报告日期,2020-06-30,
四川,255,653,-398,-156.08%,-1.27%
甘肃,179,270,-91,-50.84%,-0.29%
湖南,322,420,-98,-30.43%,-0.31%
河北,146,160,-14,-9.59%,-0.04%
山东,309,376,-67,-21.68%,-0.21%
总部及子公司,47326,26651,20675,43.69%,66.23%
福建,501,663,-162,-32.34%,-0.52%
重庆,434,491,-57,-13.13%,-0.18%
天津,150,82,68,45.33%,0.22%
内蒙,27,94,-67,-248.15%,-0.21%
河南,1113,1422,-309,-27.76%,-0.99%
安徽,24710,8860,15850,64.14%,50.77%
山西,58,139,-81,-139.66%,-0.26%
辽宁,84,154,-70,-83.33%,-0.22%
江西,168,130,38,22.62%,0.12%
云南,102,92,10,9.8%,0.03%
江苏,138,360,-222,-160.87%,-0.71%
陕西,270,159,111,41.11%,0.36%
广东,913,2028,-1115,-122.12%,-3.57%

华安证券,600909,收入构成,报告日期,2017-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
四川,528,1181,-653,-123.76%,-0.76%
广东,2770,3808,-1038,-37.46%,-1.21%
北京,5233,6313,-1080,-20.63%,-1.26%
山西,149,251,-103,-69.06%,-0.12%
辽宁,463,396,67,14.4%,0.08%
总部及子公司,106237,59422,46815,44.07%,54.46%
安徽,62641,17992,44649,71.28%,51.94%
陕西,654,347,307,46.97%,0.36%
湖南,708,814,-106,-14.93%,-0.12%
河北,419,372,48,11.36%,0.06%
重庆,1353,922,431,31.85%,0.5%
天津,474,228,247,52%,0.29%
福建,1165,1308,-143,-12.26%,-0.17%
河南,2618,2659,-41,-1.57%,-0.05%
山东,665,689,-24,-3.55%,-0.03%
浙江,1265,1487,-222,-17.56%,-0.26%
上海,2464,4596,-2132,-86.52%,-2.48%
江西,383,319,65,16.87%,0.08%
湖北,855,894,-40,-4.67%,-0.05%
云南,75,178,-102,-136.16%,-0.12%
内蒙,28,219,-192,-694.52%,-0.22%
江苏,224,794,-571,-254.98%,-0.66%
甘肃,397,614,-217,-54.75%,-0.25%

华安证券,600909,收入构成,报告日期,2017-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部及子公司,58702,25237,33465,57.01%,62.68%
重庆,761,366,395,51.91%,0.74%
浙江,571,695,-124,-21.72%,-0.23%
云南,41,84,-43,-104.88%,-0.08%
天津,221,119,102,46.15%,0.19%
四川,244,419,-175,-71.72%,-0.33%
上海,1068,2201,-1133,-106.09%,-2.12%
陕西,306,165,141,46.08%,0.26%
山西,70,130,-60,-85.71%,-0.11%
山东,305,299,6,1.97%,0.01%
内蒙,27,90,-63,-233.33%,-0.12%
辽宁,227,205,22,9.69%,0.04%
江西,187,144,43,22.99%,0.08%
江苏,104,387,-283,-272.12%,-0.53%
湖南,331,410,-79,-23.87%,-0.15%
湖北,384,415,-31,-8.07%,-0.06%
河南,1280,1291,-11,-0.86%,-0.02%
河北,190,183,7,3.68%,0.01%
广东,1423,1917,-494,-34.72%,-0.93%
甘肃,203,263,-60,-29.56%,-0.11%
福建,486,599,-113,-23.25%,-0.21%
北京,2659,3315,-656,-24.67%,-1.23%
安徽,30715,8184,22531,73.36%,42.2%

华安证券,600909,收入构成,报告日期,2016-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
总部及子公司,61103,48729,12374,20.25%,15.47%
内蒙,18,63,-45,-249.43%,-0.06%
云南,77,200,-124,-161.12%,-0.15%
山西,198,270,-72,-36.15%,-0.09%
江苏,270,369,-100,-36.95%,-0.12%
天津,270,269,1,0.39%,0%
河北,487,396,91,18.73%,0.11%
江西,514,392,122,23.71%,0.15%
甘肃,557,584,-27,-4.9%,-0.03%
辽宁,565,449,116,20.47%,0.14%
四川,628,511,117,18.66%,0.15%
山东,736,629,107,14.53%,0.13%
湖南,851,796,55,6.5%,0.07%
陕西,856,463,393,45.89%,0.49%
福建,968,1034,-66,-6.85%,-0.08%
浙江,999,1253,-254,-25.41%,-0.32%
湖北,1147,775,372,32.46%,0.47%
重庆,1463,644,819,55.97%,1.02%
上海,2665,3880,-1215,-45.59%,-1.52%
河南,3253,2830,423,13%,0.53%
广东,3264,3794,-529,-16.21%,-0.66%
北京,6586,6300,286,4.34%,0.36%
安徽,85962,18826,67136,78.1%,83.94%

