area,target0,target1,target2,target3,target4,maxConfidence
租赁业务,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,0.667
水电费,,,,,,0
房产销售业务,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
出租固定资产租金,7124图书出租,5413出租车客运,7130日用品出租,6311固定电信服务,6860保险资产管理,0.2
自行车制造及零配件销售,3761自行车制造,376自行车和残疾人座车制造,3780非公路休闲车及零配件制造,5172汽车及零配件批发,5173摩托车及零配件批发,0.571
房地产销售收入,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.444
自行车制造业,3761自行车制造,36汽车制造业,C制造业,376自行车和残疾人座车制造,3650电车制造,0.889
房产销售收入,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.182
物业管理服务业,7020物业管理,721组织管理服务,722综合管理服务,7221园区管理服务,7223市场管理服务,0.667
服务收入,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
工业产品销售收入,5115林业产品批发,5117渔业产品批发,25林产品采集,136水产品加工,2643工业颜料制造,0.333
外协加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.4
服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.667
制造业,C制造业,14食品制造业,21家具制造业 ,27医药制造业 ,36汽车制造业,1
公司内部行业间相互抵销,6911信托公司,9522行业性团体,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,0.154
电动自行车制造业,3761自行车制造,36汽车制造业,376自行车和残疾人座车制造,C制造业,3650电车制造,0.727
施工行业,9522行业性团体,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,0.286
租赁及商业服务,6621商业银行服务,6631融资租赁服务,7261公共就业服务,L租赁和商务服务业,7222商业综合体管理服务,0.364
建筑施工业,4899其他土木工程建筑施工,E建筑业,4821水源及供水设施工程建筑,4823港口及航运设施工程建筑,47房屋建筑业,0.462
批发与零售业,F批发和零售业,52零售业,5299其他未列明零售业,51批发业,5112种子批发,0.6
租赁及商业服务业,L租赁和商务服务业,72商务服务业,80居民服务业,82其他服务业,6621商业银行服务,0.429
减:行业内相互抵减,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.167
燃气设备制造行业,392通信设备制造,395视听设备制造,3952音响设备制造,34通用设备制造业,35专用设备制造业 ,0.5
租赁及其他,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,0.5
行业内相互抵减,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
设计,6520集成电路设计,7484工程设计活动,7485规划设计管理,7491工业设计服务,7492专业设计服务,0.333
储备及仓储物流服务,5920通用仓储,5930低温仓储,5941油气仓储,5951谷物仓储,5952棉花仓储,0.182
物业经营和管理,231森林经营和管护,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,0.5
其他业务,,,,,,0
石化及其他工业专用设备制造,35专用设备制造业 ,3467包装专用设备制造,3516冶金专用设备制造,3542印刷专用设备制造,3544制药专用设备制造,0.625
制茶业,1530精制茶加工,15酒、饮料及精制茶制造业,1农业,11谷物种植,111稻谷种植,0.333
施工业,2643工业颜料制造,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,0.286
批发金融业务,51批发业,J金融业,5112种子批发,5116牲畜批发,5132服装批发,0.4
公共设施服务业,78公共设施管理业,72商务服务业,80居民服务业,82其他服务业,7261公共就业服务,0.5
软饮料制造业,152饮料制造,1521碳酸饮料制造,1525固体饮料制造,C制造业,262肥料制造,0.75
行业间相互抵减,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
零售金融业务,52零售业,J金融业,521综合零售,5211百货零售,5221粮油零售,0.4
机械制造,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,3553缝制机械制造,3554洗涤机械制造,0.75
调味品制造业,14食品制造业,146调味品、发酵制品制造,C制造业,1469其他调味品、发酵制品制造,1392豆制品制造,0.667
合并范围内行业间相互抵减,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.133
其他,,,,,,0
能源,3612新能源车整车制造,7471能源矿产地质勘查,7515新能源技术推广服务,4832海洋能源开发利用工程建筑,3861燃气及类似能源家用器具制造,0.25
公司内各业务分部间互相抵销,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.154
服务业及其他,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.571
同业业务,,,,,,0
石化及其他工业专设备制造,392通信设备制造,395视听设备制造,3952音响设备制造,34通用设备制造业,35专用设备制造业 ,0.429
产品销售,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.286
减:合并范围内行业间相互抵减,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.118
零售业务,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.667
机械销售,512农业机械活动,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,3553缝制机械制造,0.25
食品饮料,152饮料制造,14食品制造业,512食品、饮料及烟草制品批发,141焙烤食品制造,143方便食品制造,0.333
杀菌纸巾,,,,,,0
小企业业务,7211企业总部管理,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
燃气销售,5266机动车燃气零售,5267机动车充电销售,45燃气生产和供应业,45燃气生产和供应业,4520生物质燃气生产和供应业,0.222
注塑,,,,,,0
一次性口罩,,,,,,0
公司业务,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.5
燃气机械,38电气机械和器材制造业 ,389其他电气机械及器材制造,512农业机械活动,3423铸造机械制造,3471电影机械制造,0.333
租金及相关收入,7291旅行社及相关服务,373船舶及相关装置制造,7231律师及相关法律服务,6410互联网接入及相关服务,728会议、展览及相关服务,0.308
水电费及其他,,,,,,0
房屋租赁,71租赁业,7111汽车租赁,47房屋建筑业,4710住宅房屋建筑,6631融资租赁服务,0.4
抵销,,,,,,0
燃汽销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
物业管理业,7020物业管理,76水利管理业,79土地管理业,7690其他水利管理业,78公共设施管理业,0.857
房地产销售、租金及相关收入,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.267
视讯,,,,,,0
物业管理及停车费,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.6
石化及其他工业专用设备制造业,35专用设备制造业 ,34通用设备制造业,3467包装专用设备制造,3516冶金专用设备制造,3542印刷专用设备制造,0.706
子公司,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.4
旅游饮食服务业,72商务服务业,80居民服务业,82其他服务业,7282旅游会展服务,729其他商务服务业,0.4
房租及管理费,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.25
材料收入,265合成材料制造,283生物基材料制造,2659其他合成材料制造,3024轻质建筑材料制造,3033防水建筑材料制造,0.25
其他电力、煤气及水的生产和供应业,46水的生产和供应业,D电力、热力、燃气及水生产和供应业,44电力、热力生产和供应业,4513煤气生产和供应业,45燃气生产和供应业,0.7
软件技术服务,745质检技术服务,65软件和信息技术服务业,6532物联网技术服务,74专业技术服务业,7459其他质检技术服务,0.6
租赁服务,6631融资租赁服务,71租赁业,L租赁和商务服务业,6020快递服务,6130民宿服务,0.75
其他营业净收入,,,,,,0
内部抵消数,,,,,,0
PTA销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
EPS,,,,,,0
其他专用设备制造业,35专用设备制造业 ,34通用设备制造业,3467包装专用设备制造,3516冶金专用设备制造,3542印刷专用设备制造,1
旅游饮食业,5422旅游客运,6110旅游饭店,7282旅游会展服务,3594商业、饮食、服务专用设备制造,1农业,0.286
汽车检测维修,7111汽车租赁,7452检测服务,36汽车制造业,5441客运汽车站,361汽车整车制造,0.25
手续费及佣金净收入,,,,,,0
零部件,348通用零部件制造,3484机械零部件加工,3912计算机零部件制造,3489其他通用零部件制造,3670汽车零部件及配件制造,0.5
房地产销售及房租,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.4
期货交易,674期货市场服务,6712证券经纪交易服务,6741期货市场管理服务,6749其他期货市场服务,6750证券期货监管服务,0.25
显示器,3974显示器件制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.571
商品贸易（矿产品）,516矿产品、建材及化工产品批发,5181贸易代理,25林产品采集,136水产品加工,5115林业产品批发,0.2
其他批发和零售贸易,F批发和零售业,51批发业,52零售业,5112种子批发,5116牲畜批发,0.727
利息净收入,,,,,,0
纺织漂染制品销售,17纺织业,1392豆制品制造,144乳制品制造,16烟草制品业 ,203木制品制造,0.222
进出口贸易,5181贸易代理,518贸易经纪与代理,5189其他贸易经纪与代理,1农业,11谷物种植,0.286
印刷业,231印刷,2311书、报刊印刷,3542印刷专用设备制造,2319包装装潢及其他印刷,2320装订及印刷相关服务,0.667
废料收入,4210金属废料和碎屑加工处理,4220非金属废料和碎屑加工处理,1农业,11谷物种植,111稻谷种植,0.154
商品贸易(钛矿产品),516矿产品、建材及化工产品批发,5181贸易代理,25林产品采集,136水产品加工,5115林业产品批发,0.19
贴现及买入返售/卖出回购票据利息净收入,,,,,,0
其他社会服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.5
电子元件制造业,3989其他电子元件制造,3824电力电子元器件制造,397电子器件制造,3976光电子器件制造,C制造业,0.769
数码印花系统,3921通信系统设备制造,6531信息系统集成服务,7272 安全系统监控服务,7711自然生态系统保护管理,3914工业控制计算机及系统制造,0.167
印刷包装,231印刷,2319包装装潢及其他印刷,7292包装服务,2311书、报刊印刷,3055玻璃包装容器制造,0.5
注塑件,,,,,,0
电子原器件销售,397电子器件制造,3976光电子器件制造,3971电子真空器件制造,3979其他电子器件制造,3824电力电子元器件制造,0.364
物业管理和停车费,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.6
燃汽机械,512农业机械活动,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,3553缝制机械制造,0.25
债券业务利息净收入,,,,,,0
物业出租,7020物业管理,7124图书出租,5413出租车客运,7130日用品出租,7125音像制品出租,0.333
其他纺织品业,17纺织业,5231纺织品及针织品零售,16烟草制品业 ,291橡胶制品业,292塑料制品业,0.4
物业经营及管理,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.444
EPS产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.25
物流及运输,5438搬家运输,53铁路运输业,54道路运输业,55水上运输业,56航空运输业 ,0.286
建筑材料销售,3024轻质建筑材料制造,3033防水建筑材料制造,3039其他建筑材料制造,303砖瓦、石材等建筑材料制造,3515建筑材料生产专用机械制造,0.5
停车费,3437机械式停车设备制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
天然汽配售,72天然气开采,182天然草原割草,721陆地天然气开采,7630天然水收集与分配,7石油和天然气开采业,0.25
金融企业往来利息净收入/支出,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.133
汽车维修,7111汽车租赁,36汽车制造业,5441客运汽车站,361汽车整车制造,3630改装汽车制造,0.333
石油制品业,16烟草制品业 ,291橡胶制品业,292塑料制品业,33金属制品业 ,2511原油加工及石油制品制造,0.5
物业经营管理,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.5
保丽龙,,,,,,0
酒店及餐饮,62餐饮业,629其他餐饮业,6241餐饮配送服务,H住宿和餐饮业,6121经济型连锁酒店,0.333
其他金属制品业,33金属制品业 ,4310金属制品修理,30非金属矿物制品业,339其他金属制品制造,16烟草制品业 ,1
电子产品,5279其他电子产品零售,8131家用电子产品修理,5179其他机械设备及电子产品批发,527家用电器及电子产品专门零售 ,517机械设备、五金产品及电子产品批发,0.6
典当行,6633典当,1农业,11谷物种植,111稻谷种植,112小麦种植,0.667
存贷利息净收入,,,,,,0
手表业务,,,,,,0
房地产销售及租金,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.4
物业经营与管理,7020物业管理,691金融信托与管理服务,6919其他金融信托与管理服务,7840绿化管理,76水利管理业,0.444
材料及废料收入,2780药用辅料及包装材料,2770卫生材料及医药用品制造,265合成材料制造,283生物基材料制造,623饮料及冷饮服务,0.286
出租车运输,5413出租车客运,5438搬家运输,7124图书出租,53铁路运输业,54道路运输业,0.5
期货经纪,9054体育经纪人,674期货市场服务,6851保险经纪服务,518贸易经纪与代理,9053文化娱乐经纪人,0.286
内部交易抵消,6712证券经纪交易服务,7213资源与产权交易服务,1农业,11谷物种植,111稻谷种植,0.167
商品贸易(矿产品),516矿产品、建材及化工产品批发,5181贸易代理,25林产品采集,136水产品加工,5115林业产品批发,0.2
贴现利息净收入,,,,,,0
精密科技业务,7281科技会展服务,7530科技中介服务,6433互联网科技创新平台,75科技推广和应用服务,7590其他科技推广服务业,0.25
PTA石化新材料,7513新材料技术推广服务,2832生物基、淀粉基新材料制造,265合成材料制造,283生物基材料制造,2659其他合成材料制造,0.267
物业经营管理与印刷,7020物业管理,5443公路管理与养护,231印刷,7840绿化管理,76水利管理业,0.364
泡沫件,2924泡沫塑料制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
咨询,7244健康咨询,7245环保咨询,7246体育咨询,724咨询与调查,7243社会经济咨询,0.5
房地产开发及物业管理,7010房地产开发经营,7020物业管理,70房地产业,70房地产业,7090其他房地产业,0.533
建筑用金属制品业,33金属制品业 ,335建筑、安全用金属制品制造,3359其他建筑、安全用金属制品制造,4310金属制品修理,3353安全、消防用金属制品制造,0.727
物业租赁及管理,7020物业管理,71租赁业,7111汽车租赁,7840绿化管理,76水利管理业,0.444
金融企业往来利息净收入,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.167
精密制造业务,C制造业,1442乳粉制造,1461味精制造,151酒的制造,1511酒精制造,0.4
纺织漂染制品,17纺织业,1392豆制品制造,144乳制品制造,16烟草制品业 ,203木制品制造,0.286
物业及其他管理,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.571
饮食服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
废料,4210金属废料和碎屑加工处理,4220非金属废料和碎屑加工处理,1农业,11谷物种植,111稻谷种植,0.182
物流及装卸运输,5438搬家运输,5910装卸搬运,53铁路运输业,54道路运输业,55水上运输业,0.222
公司内各业务部间相互抵消,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.167
旅游饮食行业,5422旅游客运,6110旅游饭店,9522行业性团体,7282旅游会展服务,3594商业、饮食、服务专用设备制造,0.25
信贷业务利息净收入,,,,,,0
表类,,,,,,0
投资物业及相关服务,7291旅行社及相关服务,6410互联网接入及相关服务,728会议、展览及相关服务,7289其他会议、展览及相关服务,64互联网和相关服务,0.533
其他纤维制品制造业,28化学纤维制造业,1392豆制品制造,14食品制造业,144乳制品制造,203木制品制造,0.667
分部间抵销,,,,,,0
钢材,,,,,,0
酒店管理,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.333
公司内各业务部间相互抵销,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.167
租赁费,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,0.5
手续费、佣金及其他业务收入,5246工艺美术品及收藏品零售,5146首饰、工艺品及收藏品批发,1农业,11谷物种植,111稻谷种植,0.111
飞亚达表,,,,,,0
商品房销售及一级土地开发,651软件开发,79土地管理业,6511基础软件开发,6512支撑软件开发,6513应用软件开发,0.143
数码喷射印花系统销售,5267机动车充电销售,3921通信系统设备制造,6531信息系统集成服务,7272 安全系统监控服务,7711自然生态系统保护管理,0.133
铅锌精矿产品铅锌矿采掘、冶炼及销售,912铅锌矿采选,3212铅锌冶炼,516矿产品、建材及化工产品批发,3211铜冶炼,3214锡冶炼,0.3
物业管理分部,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.75
液晶显示器,3974显示器件制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.444
房地产经营及物业管理,7020物业管理,7010房地产开发经营,7040房地产租赁经营,70房地产业,70房地产业,0.5
铝型材及彩板型材,2922塑料板、管、型材制造,2442专项运动器材及配件制造,246游艺器材及娱乐用品制造,3739航标器材及其他相关装置制造,516矿产品、建材及化工产品批发,0.125
旅游餐饮,62餐饮业,5422旅游客运,6110旅游饭店,629其他餐饮业,6241餐饮配送服务,0.4
品牌名表,,,,,,0
证券投资利息收入,6720公开募集证券投资基金,673非公开募集证券投资基金,6739其他非公开募集证券投资基金,6732天使投资,671证券市场服务,0.375
商品房销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
棉纱销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
铅锌及制造工业,2643工业颜料制造,3491工业机器人制造,1363鱼油提取及制品制造,3061玻璃纤维及制品制造,C制造业,0.364
其他分部,,,,,,0
泡沫件(保丽龙),2924泡沫塑料制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.167
集团内行业间相互抵减,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.154
复合铝板及单层成型铝板,2542生物质致密成型燃料加工,1农业,11谷物种植,111稻谷种植,112小麦种植,0.1
房地产开发与经营,7010房地产开发经营,7040房地产租赁经营,70房地产业,70房地产业,7090其他房地产业,0.769
物业管理及来料加工,7020物业管理,132饲料加工 ,2530核燃料加工,1321宠物饲料加工,1329其他饲料加工,0.545
物业经营,7020物业管理,231森林经营和管护,7010房地产开发经营,7040房地产租赁经营,711机械设备经营租赁,0.333
买入返售证券收入,671证券市场服务,6711证券市场管理服务,6712证券经纪交易服务,6750证券期货监管服务,6720公开募集证券投资基金,0.167
外贸加工/出口,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.25
房地产分部,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.571
集团内行业间相互抵销,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.154
销售材料,265合成材料制造,283生物基材料制造,5267机动车充电销售,2659其他合成材料制造,3024轻质建筑材料制造,0.25
饮食业,3594商业、饮食、服务专用设备制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.133
建筑安装工程,49建筑安装业,4999其他建筑安装,499其他建筑安装业,4811铁路工程建筑,4812公路工程建筑,0.667
租赁及酒店业,71租赁业,7111汽车租赁,6631融资租赁服务,6121经济型连锁酒店,7040房地产租赁经营,0.286
其他(含来料加工、物业管理等),7020物业管理,132饲料加工 ,2530核燃料加工,1321宠物饲料加工,1329其他饲料加工,0.4
物业管理行业,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,0.75
金融企业往来收入,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.222
服装销售,5132服装批发,5232服装零售,181机织服装制造,1921皮革服装制造,1932毛皮服装加工,0.333
餐饮分部,62餐饮业,629其他餐饮业,6241餐饮配送服务,H住宿和餐饮业,6299其他未列明餐饮业,0.4
金融行业,J金融业,69其他金融业,9522行业性团体,66货币金融服务,6940金融信息服务,0.4
电路板,3973集成电路制造,3982电子电路制造,6520集成电路设计,1农业,11谷物种植,0.286
房地产管理,70房地产业,70房地产业,6860保险资产管理,7090其他房地产业,7010房地产开发经营,0.571
商业运营服务,6621商业银行服务,7222商业综合体管理服务,6020快递服务,6130民宿服务,6210正餐服务,0.4
名表、飞亚达表销售及时尚品牌表,5236钟表、眼镜零售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,0.1
来料加工,132饲料加工 ,2530核燃料加工,1321宠物饲料加工,1329其他饲料加工,254生物质燃料加工,0.667
租赁行业,71租赁业,7111汽车租赁,9522行业性团体,6631融资租赁服务,7040房地产租赁经营,0.4
棉纱收入,,,,,,0
贷款利息收入,6635小额贷款公司服务 ,1农业,11谷物种植,111稻谷种植,112小麦种植,0.167
物业管理业务,7020物业管理,7840绿化管理,76水利管理业,7620水资源管理,79土地管理业,1
高新技术产品行业,25林产品采集,136水产品加工,9522行业性团体,5115林业产品批发,5117渔业产品批发,0.182
彩电加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.4
交通运输辅助业,533铁路运输辅助活动,541城市公共交通运输,544道路运输辅助活动,553水上运输辅助活动,563航空运输辅助活动,0.462
名表、飞亚达表销售,5236钟表、眼镜零售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,0.143
融资租赁服务,6631融资租赁服务,7296非融资担保服务,L租赁和商务服务业,71租赁业,6020快递服务,1
商品房开发与销售,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,6519其他软件开发,0.2
汇兑净收益,,,,,,0
羽绒服销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
典当行业,6633典当,9522行业性团体,1农业,11谷物种植,111稻谷种植,0.5
交通运输,541城市公共交通运输,5419其他城市公共交通运输 ,G交通运输、仓储和邮政业,5438搬家运输,53铁路运输业,0.6
其他电子设备制造业,3990其他电子设备制造,34通用设备制造业,35专用设备制造业 ,39计算机、通信和其他电子设备制造业,392通信设备制造,0.769
名表及飞亚达表销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.143
房地产开发与管理,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.615
公路运输,53铁路运输业,54道路运输业,542公路旅客运输,5432冷藏车道路运输,5433集装箱道路运输,0.571
金融服务,66货币金融服务,6940金融信息服务,6634汽车金融公司服务,6636消费金融公司服务 ,J金融业,0.75
商品房开发,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,6519其他软件开发,0.286
投资净收益,6732天使投资,6731创业投资基金,6760资本投资服务,7212投资与资产管理,6720公开募集证券投资基金,0.286
软件销售,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,6519其他软件开发,0.333
物业租赁,71租赁业,7020物业管理,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,0.4
计算机、通信和其他电子设备制造业,39计算机、通信和其他电子设备制造业,3990其他电子设备制造,3913计算机外围设备制造,392通信设备制造,34通用设备制造业,0.857
酒店,6121经济型连锁酒店,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
运输行业,5438搬家运输,53铁路运输业,54道路运输业,55水上运输业,56航空运输业 ,0.333
房地产业务,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.8
批发和零售业,F批发和零售业,52零售业,5299其他未列明零售业,51批发业,5112种子批发,1
物业租赁业务,71租赁业,7020物业管理,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,0.4
服务业物业管理,7020物业管理,72商务服务业,80居民服务业,82其他服务业,721组织管理服务,0.667
债券利息净收入,,,,,,0
污泥干化,,,,,,0
计算机及相关设备制造业,3743航天相关设备制造,3744航空相关设备制造,3913计算机外围设备制造,34通用设备制造业,35专用设备制造业 ,0.588
建材及装饰,5165建材批发,516矿产品、建材及化工产品批发,5012住宅装饰和装修,1012建筑装饰用石开采,501建筑装饰和装修业,0.286
商品流通业,,,,,,0
酒店经营,231森林经营和管护,6121经济型连锁酒店,7010房地产开发经营,7040房地产租赁经营,711机械设备经营租赁,0.222
物业管理与房屋租赁,7020物业管理,5443公路管理与养护,71租赁业,7111汽车租赁,7840绿化管理,0.545
物流,,,,,,0
融资租赁业务,6631融资租赁服务,71租赁业,7111汽车租赁,7040房地产租赁经营,7296非融资担保服务,0.75
三来一补来料加工,132饲料加工 ,2530核燃料加工,1321宠物饲料加工,1329其他饲料加工,254生物质燃料加工,0.4
存贷款利息净收入,6635小额贷款公司服务 ,1农业,11谷物种植,111稻谷种植,112小麦种植,0.143
